22362	82003	-85828	-64733	41205
18913	76110	53682	46626	33135
-39094	-10927	24250	-72639	-41548
-33320	-44125	3697	87059	-91227
77247	-62110	-97695	-97140	-42695
76452	-5186	-19406	50460	-82173
-63993	1901	61660	-10585	-62693
-66484	-43409	63242	45772	50035
-41942	94435	12740	54667	69365
-3285	-22596	45109	-82378	-70196
21862	-93271	-11721	3508	36532
-97415	49204	28687	-8139	76812
22185	-58955	-2106	-96745	-13291
19679	-83314	53076	-44143	14868
55029	64143	-11996	-41294	87199
-98593	-18051	-73373	-77178	-66277
-34958	88566	53645	-41826	86932
89571	62663	69889	-58230	29486
-15319	73433	-58305	-8117	-83544
-74580	-67243	-69216	9295	62211
96956	42075	97371	-93984	27654
57251	11818	-7372	-98012	55532
41065	-84550	56068	-28483	72410
43851	82316	-23366	-68425	67235
53027	-60814	34683	-93844	-90810
-20086	6999	70894	-49282	9999
-44055	-50330	-39360	-64510	-68633
-30119	-7723	-82075	79951	18832
58792	-85748	-717	43246	-5645
71375	60273	-59119	16213	35065
43466	76878	-4703	-83277	-3295
4091	43895	-51077	92297	82608
46593	94522	91236	-28973	-90195
-26751	-57873	14657	46045	-95279
2122	48110	5489	98683	-86185
-96159	-33755	-21010	-98143	53089
-97847	-56857	54354	-39766	-7801
-88523	3234	-58059	-84877	65233
-5285	-13174	19222	41113	32291
42772	18658	-48833	34229	-98663
-28412	-29483	-57117	60678	93614
-17373	-34260	89338	8164	-7268
-29476	-36710	-19742	35721	-77567
-49942	-38388	79927	92288	-62923
-96996	22595	83024	-10447	-80463
-58527	30121	-16031	46440	58478
-34708	-69651	16684	93956	69386
-21779	36842	-27847	-49613	-69651
-81229	80692	-86636	80349	-19738
-32105	93280	18345	-51705	63600
38768	-45032	45974	-40680	-63249
-47424	75255	50795	47189	-86909
72506	-45513	-51984	-80970	-48365
82772	83211	93396	-17155	98379
3664	64311	-6523	-55766	66729
-77288	96970	-35615	-31843	96915
71676	-91330	-54046	95002	-84163
-82096	75686	2230	29530	37525
32899	78480	57597	74923	51046
85363	47008	-95434	-75841	22504
87138	-32807	-65712	-89720	69294
19022	41527	-41939	7586	19385
16786	4539	-819	-37462	-83509
-3503	90509	-34409	65411	-46290
-62110	-36733	53138	3149	-71491
25332	-86598	-45307	-17252	-3151
67152	46618	-29493	-18070	-72991
16843	-44756	-32749	88133	-14955
-53651	-73550	66061	86135	58571
65405	-36504	43631	74597	-59170
66622	74475	-23792	7223	8645
58620	74599	-28661	-20840	-36729
14841	-21902	-31852	-63608	-32579
25747	15034	-98133	61479	75939
-29015	79898	-96640	86015	88814
49834	67310	-86454	-48898	-83084
-20922	59713	56616	60329	6119
69709	-64643	-17827	30079	-43935
-12537	-44906	3855	70996	-70265
94034	-8953	81287	3938	-65243
17253	7953	-6857	21903	38568
-27537	-17095	87780	55853	69206
-93127	14302	37782	-73799	88022
42195	35053	89707	-39320	47498
29071	17821	-56019	-85211	28881
56685	-42985	-17856	-59904	-55477
44665	-78498	-63489	20404	-35404
63295	-14260	54623	-43894	19368
7820	-76547	-17022	48271	-10475
54968	-78859	24725	37408	-76272
41350	-33579	44433	-44995	-66187
-4924	-42686	-27005	-2089	-9830
41390	-73888	21936	-40255	71564
-32528	43778	-32184	26861	-83644
20156	16448	97435	-88494	-57083
-35538	98732	41452	70052	-31292
47047	-98471	86416	31480	-74566
-87724	-90177	-64269	75620	66104
44881	-83339	8154	-84203	-52772
99896	-15549	-30650	-61276	-71965
-52202	-85857	-78510	-77330	-88359
72519	-17059	11129	-90153	-26249
-24635	32618	63676	-14610	3216
90753	-42162	-18689	-48765	-22573
83705	85929	-10619	-24737	-79177
-25874	73772	42222	-86960	-54141
86181	51447	-97696	-67745	30523
90031	44755	79101	30031	-31508
-6223	45647	-95176	78946	55144
93732	-36905	84959	53833	33921
21650	-53081	15619	-86611	95840
-50894	-5575	77249	-37992	66730
96178	65182	33073	25626	82567
-90387	-53239	-67124	-66681	7398
35821	-79078	66971	35701	-24866
8061	-62191	-23996	17248	28410
-33274	-55328	10173	-89939	74085
55019	-31490	2681	64689	26610
-91029	-41291	92739	-91665	-54619
16274	-24877	83633	2301	91064
-14784	3763	-5110	87775	6095
69969	-59657	-35959	55730	50532
47646	-8377	4046	-10681	-60818
-55674	20995	69184	-59080	23359
63646	-47421	-36361	85686	65166
88151	-66059	-27287	28396	41453
85788	54642	47637	-13013	-62517
-22580	9375	-54587	-30264	82212
57656	13371	5225	-42760	66742
10956	-46824	-54104	42364	65293
1943	-20440	-25828	48999	3301
-66126	-55171	33422	50170	91894
-4105	87537	25611	-24946	72040
9209	-35618	61680	-97765	10243
35405	18628	6682	-28390	-97374
-77421	-73056	25309	82564	-63744
99183	-24828	-82737	-20737	-47392
91838	-10712	20189	-50186	75930
5577	-64619	-58800	72582	-6696
-79123	-89079	-89128	88013	47339
-60749	-97888	38141	85615	56166
-56420	15612	-73964	61074	-22606
270	80129	-16969	39003	-15531
31927	-96081	-92338	-28921	51117
49306	-54299	99058	96105	-82709
-72777	14974	29831	-89561	48138
-25258	73920	90701	-21525	-68924
-70092	-90766	-12296	14497	-38935
95603	-99186	-26518	-68829	-98143
96275	-41291	66564	-31938	-23172
56835	1749	-34577	49285	12555
-18065	73224	-80200	36772	46958
-76167	91532	-20392	-35181	-65273
-2699	-684	19625	33325	-221
-52508	7869	3358	68804	4324
-69533	16580	-90282	-90006	-94580
-39614	-97035	27957	78937	-95967
-77286	-4851	-50160	44280	-14783
65507	-26063	-67972	3591	63657
-96351	86146	-51630	79382	-42289
-54957	-29780	1008	2248	37396
-49450	67435	-18992	59515	-44685
-48857	-21891	-76573	5449	-54180
88376	-77176	82286	55035	-99627
-70504	-77109	63608	-58761	-21898
31051	-18024	-26807	-78974	-38327
-26946	-17209	73226	-37002	57989
72330	96326	-10400	26396	-63191
-23705	76046	-9551	23657	-49536
-15819	-94710	-1032	-34935	-94372
-59925	-29297	-79836	56978	-2948
-89194	-74759	-35994	9138	-21544
-67685	58964	-1144	92901	56401
-32602	37756	-92086	10662	51952
-98156	47300	33532	31065	-99996
94526	37551	17153	-64533	-74051
79988	-39303	-65124	-95005	-357
14333	73011	20769	-63635	-86334
-96331	-69082	24317	-25456	22944
-58987	-92090	74975	-33801	-67744
-64413	-95969	82111	-24462	-79928
-43768	12395	-4648	-75640	86831
74357	5520	28686	9957	-98548
76046	9156	-16374	54653	59986
-10404	60097	-11847	64234	-28619
51693	-97912	99047	-29655	-66011
-73874	51838	40187	-99892	-38403
85043	-80961	-8320	74125	72873
22814	81660	56944	-29868	-89
-15571	-80145	98977	82290	25142
-88325	9046	50396	-73927	-73188
57135	89982	68314	45588	-43906
-16474	-62158	-79421	-91859	78652
-9581	-6962	54151	95212	23525
-73566	-24293	93259	-71845	45659
511	-18134	21962	-60280	-15422
48600	-62330	70845	64745	82904
66837	68828	-83820	34943	55297
-7518	97294	-38292	-41635	14284
-22602	-71035	97482	79370	8688
76747	41728	-30671	-32641	-87928
89319	85186	-64528	41159	51463
-23153	-95545	13420	-96230	-40035
-73665	-2490	85368	-12029	12950
-96393	22705	-21772	74949	99289
-77031	-33970	-43043	64250	8909
35715	24097	92695	-45745	-77282
-10846	19243	50151	17883	68614
41213	-33871	-76764	3859	66517
42644	-57268	66828	-32796	-47133
-30206	15702	-82620	90634	-55904
14050	26066	-64834	-99080	-32933
-99844	49948	-1198	33051	-86227
-8382	95293	-74531	338	-43650
57266	85071	71181	-52849	-60368
56877	-30606	-43544	-91937	-87593
16839	-89384	-6417	62471	29977
24400	-25077	62932	24369	74131
69919	-16434	16328	-31513	-77449
35911	-1733	17991	-11720	20018
23732	65753	2767	53823	25791
-58447	14581	-33330	-41750	-59934
75595	-21248	-79245	61520	3233
-8588	-84004	-48986	-47194	4283
75121	618	-88320	6101	-21259
-678	69296	91250	-79939	-20275
-75000	48854	87834	-56544	79704
-12146	69701	-49803	-19553	-56449
-26753	-2932	5400	-67954	-39260
-26511	-63683	-65420	-74188	44220
65059	-68961	-80361	-75192	-60290
-21151	43469	-21199	-2245	-17583
-58447	82465	91191	86969	26460
56261	85340	94757	-54551	-94243
49288	97557	50859	-12041	97888
66166	-95762	15801	2199	-81424
-2023	25513	-2369	-76921	98592
75920	8713	43488	75111	-13206
-42035	-61529	80674	-31767	-4536
-16909	-69115	35970	96704	-28378
-24217	-19340	-91706	36307	4834
89758	94190	-33195	-6511	-49895
86932	80807	-29096	-16586	-4775
-68300	-63927	-92451	21846	-44683
26614	55256	32378	-75834	31494
-49601	-11816	-74963	13946	4731
-1322	-99958	-29688	-78249	-48718
29461	67158	75762	14278	91017
68647	-19055	-69990	-52866	38609
70443	-40095	-62395	-46214	-37755
60582	44823	-59697	-5351	36437
37112	-15845	1767	56687	830
-94621	4885	69802	14646	-7401
-39439	-28024	-8701	-98258	-91870
-44147	55669	-55626	-35747	-67333
-10935	94831	-40286	-76153	-59357
50073	18548	-76876	-46684	-90912
-10027	42723	40539	2395	78953
99742	11811	57563	-60980	-51430
-89065	12608	-42905	84965	-25169
11025	93111	15322	35367	-88262
-90446	-71052	54045	-34954	40251
4642	-37737	-89196	-7460	7272
51845	24680	27492	-66417	-43336
54552	-19523	36722	29098	16986
72888	45226	-5189	43346	-66447
65031	13253	-81205	70333	97745
6710	-87167	1865	48932	10184
-65334	87461	-33071	75241	-31782
-31998	-13909	-11981	-88641	64290
88058	-6740	44690	-58871	4427
75431	25520	-83340	-6374	77048
43112	99408	-50558	87613	19144
-78017	57670	19773	36189	78008
